,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2026-01-02,AAPL,270.5074462890625,277.32476727085935,268.5011639041959,271.7551282774649,37838100.0,4.0,-0.28871084674335634,280.3159629587844,268.29576189473124,53.21685308314345,-55.79345153951232,8.676806222662922,275.0004079182943,268.8742037455241,14.510000228881836,62.060813170977376
0,2026-01-02,AMGN,322.9466552734375,324.47443988787484,320.35432453761916,324.0604430450219,1539700.0,4.0,1.2323735302020395,334.84663244421125,308.65440210168714,54.35065589527872,-36.79923851414007,5.388001997611039,326.14170227050784,313.37227528889974,14.510000228881836,62.060813170977376
0,2026-01-02,AMZN,226.5,235.4600067138672,224.6999969482422,231.33999633789062,51456200.0,4.0,0.08923798712561393,235.4954877479322,221.46151298448967,48.449847835928665,9.536941611471077,10.751361762906793,228.30333404541017,229.39483388264975,14.510000228881836,62.060813170977376
0,2026-01-02,AXP,371.5553894042969,371.6949323890816,366.0926481279051,368.3355574765444,2076100.0,4.0,3.3314282562503763,386.6704595029079,361.4063227236546,55.84914557611572,13.403694866487111,5.385532370889983,367.99549458821616,358.486973063151,14.510000228881836,62.060813170977376
0,2026-01-02,BA,227.77000427246094,227.77000427246094,215.24000549316406,218.14999389648438,11261000.0,4.0,6.020081053811708,226.35903604148996,194.04396688819753,62.14514359899098,133.24168611369706,50.310462990838445,202.68900095621746,204.9933344523112,14.510000228881836,62.060813170977376
0,2026-01-02,CAT,595.8787231445312,597.0736593484286,572.8764595216726,575.1468443867755,2761600.0,4.0,3.6282527150958686,617.4348670866173,554.9379417512735,59.099261544668664,49.6719636912145,17.97795980269289,578.9048278808593,559.3922815958659,14.510000228881836,62.060813170977376
0,2026-01-02,CRM,252.98727416992188,264.7179455369111,251.85011880482824,264.3388886749725,9680600.0,4.0,4.590648918582815,269.9830821017907,249.58391008570922,51.00100158545875,33.42118637279614,4.817395070133855,249.7486358642578,248.34140497843424,14.510000228881836,62.060813170977376
0,2026-01-02,CSCO,75.63018798828125,76.53527965311788,75.20250514341136,76.23690103770777,15749800.0,4.0,0.34755470863856885,79.13024191136951,75.16129937891368,53.34119600759726,-76.11043831689886,7.918854679736527,76.69634221394857,73.90833384195963,14.510000228881836,62.060813170977376
0,2026-01-02,CVX,152.9884490966797,152.9884490966797,148.42529718915281,149.328113728916,6862100.0,4.0,0.44275976609108625,151.46554580198122,143.47440781130004,55.952092858882196,225.9505874517849,25.71082746534757,147.55257059733074,148.5657056172689,14.510000228881836,62.060813170977376
0,2026-01-02,DIS,111.8499984741211,113.44000244140625,111.62000274658203,113.44000244140625,8906200.0,4.0,1.647357494868075,117.08475828759424,104.54629639990577,52.2199997254259,65.3667804895859,16.303185567846963,108.38156407674154,109.38087158203125,14.510000228881836,62.060813170977376
0,2026-01-02,GS,905.5623168945312,905.6613327098464,872.2947559758666,875.5135558134159,2817600.0,4.0,20.632031261683323,916.1399480274691,839.1666376658903,63.18746142304372,75.28000679294878,31.37183785244457,849.2078165690104,809.6032470703125,14.510000228881836,62.060813170977376
0,2026-01-02,HD,343.5233459472656,346.17559695499574,338.65589391212825,341.1492038747843,3763000.0,4.0,-3.248731922948764,357.8503426700344,338.27661961023904,43.23958432204817,-47.936482575195164,10.46940015068553,346.5153299967448,359.74285481770835,14.510000228881836,62.060813170977376
